group,dir,comparison,stretch,N1,N2,test,p_value,power,effect_size,p_adj,significant
CN,Circ,IT_vs_Ext,1.197,4,3,Mann-Whitney U,1,0.0729,0.4118,1,False
CN,Circ,IT_vs_Ext,1.2955,4,3,T-test (Student),0.6065,0.0668,0.3532,0.6986,False
CN,Circ,IT_vs_Ext,1.394,4,3,T-test (Student),0.5781,0.0697,0.3823,0.679,False
CN,Circ,IT_vs_Ext,1.4925,4,3,T-test (Welch),0.5869,0.0615,0.3298,0.6857,False
CN,Circ,IT_vs_Ext,1.591,4,3,T-test (Welch),0.6069,0.0602,0.3114,0.6986,False
CN,Circ,IT_vs_Ext,1.6894,4,3,T-test (Welch),0.5615,0.0632,0.3539,0.6693,False
CN,Circ,IT_vs_Ext,1.7879,4,3,T-test (Welch),0.6805,0.0565,0.247,0.7505,False
CN,Circ,IT_vs_Ext,1.8864,4,3,T-test (Welch),0.8128,0.0521,0.1406,0.8759,False
CN,Circ,IT_vs_Ext,1.9849,4,3,T-test (Welch),0.9138,0.0504,0.0641,0.9542,False
CN,Circ,IT_vs_Ext,2.0834,4,3,T-test (Welch),0.9349,0.0503,0.0487,0.9677,False
CN,Circ,IT_vs_Ext,2.1819,4,3,T-test (Welch),0.9971,0.05,-0.0022,1,False
CN,Circ,IT_vs_Ext,2.2804,4,3,T-test (Student),0.995,0.05,-0.0042,1,False
CN,Circ,IT_vs_Ext,2.3789,4,3,T-test (Student),0.9632,0.0501,-0.0312,0.9909,False
CN,Circ,IT_vs_Ext,2.4774,4,3,T-test (Student),0.9104,0.0508,-0.0761,0.9542,False
CN,Circ,IT_vs_Ext,2.5759,3,3,T-test (Student),0.8921,0.0509,-0.0944,0.9441,False
CN,Circ,IT_vs_Ext,2.6744,3,3,T-test (Student),0.8915,0.051,-0.0949,0.9441,False
CN,Circ,IT_vs_Ext,2.7729,3,3,T-test (Student),0.9204,0.0505,-0.0694,0.9569,False
CN,Circ,IT_vs_Ext,2.8713,3,3,T-test (Student),0.9657,0.0501,-0.0299,0.9909,False
